,ID,Name,Genre,Console,Rating,Global_Sales,VGChartz Score,Critic Score,Critic_Count,User Score,User_Count,Release Date
179,84065,Life is Strange,Adventure,XOne,M,0.13,8.3,,4.0,,123.0,19th Jan 16
180,21685,Mirror's Edge,Platform,PS3,T,1.13,8.3,7.7,66.0,8.2,362.0,11th Nov 08
181,21686,Mirror's Edge,Platform,X360,T,1.16,8.3,7.6,82.0,,328.0,11th Nov 08
182,17391,Ninja Gaiden: Dragon Sword,Action,DS,T,0.21,8.3,8.0,52.0,,36.0,25th Mar 08
184,12807,Retro Game Challenge,Action,DS,E,0.11,8.3,8.1,30.0,,15.0,10th Feb 09
185,19541,The Conduit,Shooter,Wii,T,0.57,8.3,6.6,79.0,8.2,258.0,23rd Jun 09
186,14180,Unreal Tournament III,Shooter,X360,M,0.47,8.3,7.8,47.0,,95.0,07th Jul 08
188,37830,3D Dot Game Heroes,Role-Playing,PS3,E10+,0.57,8.2,7.5,66.0,,96.0,11th May 10
189,25780,Darksiders,Action,PS3,M,0.02,8.2,7.8,73.0,8.5,319.0,05th Jan 10
190,25779,Darksiders,Action,X360,M,1.06,8.2,7.8,81.0,,292.0,05th Jan 10
191,7728,Disgaea 3: Absence of Justice,Role-Playing,PS3,T,0.52,8.2,7.8,51.0,,150.0,26th Aug 08
192,33783,F1 2010,Racing,X360,E,0.88,8.2,8.4,43.0,,65.0,21st Sep 10
193,51209,F1 2011,Racing,X360,E,0.72,8.2,8.5,61.0,,54.0,20th Sep 11
194,6993,Fallout 3,Role-Playing,PS3,M,3.94,8.2,8.8,57.0,,910.0,28th Oct 08
195,6992,Fallout 3,Role-Playing,X360,M,4.93,8.2,9.0,84.0,8.6,1655.0,28th Oct 08
196,13108,inFAMOUS,Action,PS3,T,2.93,8.2,8.7,98.0,9.1,1172.0,26th May 09
197,70139,MotorStorm RC,Racing,PSV,E,0.06,8.2,,39.0,,123.0,06th Mar 12
199,28940,Nostalgia,Role-Playing,DS,E10+,0.19,8.2,7.2,36.0,,19.0,27th Oct 09
200,39111,Star Ocean: The Last Hope International,Role-Playing,PS3,T,0.72,8.2,8.1,45.0,9.5,155.0,09th Feb 10
201,31705,Teenage Mutant Ninja Turtles: Smash-Up,Fighting,Wii,E10+,0.35,8.2,7.2,34.0,,21.0,22nd Sep 09
202,25591,The Godfather II,Adventure,PS3,M,0.74,8.2,6.4,53.0,,50.0,07th Apr 09
203,25590,The Godfather II,Adventure,X360,M,0.79,8.2,6.2,72.0,,60.0,07th Apr 09
204,25935,The House of the Dead: Overkill,Shooter,Wii,M,0.85,8.2,7.9,65.0,,95.0,10th Feb 09
205,2619,Viva Pinata,Simulation,X360,E,1.62,8.2,8.4,65.0,,131.0,09th Nov 06
206,12378,Final Fantasy Tactics A2: Grimoire of the Rift,Role-Playing,DS,E10+,0.75,8.1,8.1,47.0,,106.0,24th Jun 08
207,42744,Hot Shots Tennis: Get a Grip,Sports,PSP,E,0.21,8.1,8.0,27.0,,17.0,29th Jun 10
208,1113,Killzone: Liberation,Shooter,PSP,T,0.89,8.1,7.8,56.0,,80.0,31st Oct 06
210,27535,Skate 2,Sports,PS3,T,0.84,8.1,8.2,50.0,,53.0,21st Jan 09
211,27534,Skate 2,Sports,X360,T,1.09,8.1,8.2,70.0,,72.0,21st Jan 09
212,32984,Suikoden Tierkreis,Role-Playing,DS,E10+,0.26,8.1,7.7,24.0,,37.0,17th Mar 09
213,6151,WarioWare: Smooth Moves,Puzzle,Wii,E10+,2.89,8.1,8.2,61.0,,179.0,15th Jan 07
214,51793,Wipeout 2048,Racing,PSV,E10+,0.35,8.1,,63.0,,191.0,15th Feb 12
215,682,Excite Truck,Racing,Wii,E,0.53,8.0,7.0,57.0,,83.0,19th Nov 06
216,70928,F1 2012,Racing,X360,E,0.49,8.0,8.5,42.0,,56.0,18th Sep 12
217,76415,F1 2013,Racing,X360,E,0.3,8.0,,29.0,,33.0,08th Oct 13
218,30702,Call of Juarez: Bound in Blood,Shooter,PS3,M,0.88,8.0,7.7,47.0,,91.0,30th Jun 09
219,30701,Call of Juarez: Bound in Blood,Shooter,X360,M,0.6,8.0,7.6,77.0,,94.0,30th Jun 09
220,6991,DiRT,Racing,PS3,E,1.05,8.0,8.3,32.0,,32.0,11th Sep 07
221,6710,DiRT,Racing,X360,E,0.87,8.0,8.4,59.0,,94.0,19th Jun 07
222,34272,DJ Hero,Misc,PS3,T,0.9,8.0,8.5,53.0,,49.0,27th Oct 09
223,34270,DJ Hero,Misc,Wii,T,0.76,8.0,8.6,22.0,,19.0,27th Oct 09
224,34271,DJ Hero,Misc,X360,T,1.06,8.0,8.4,72.0,,42.0,27th Oct 09
225,7692,Dragon Quest IV: Chapters of the Chosen,Role-Playing,DS,E10+,1.62,8.0,8.1,44.0,8.0,50.0,16th Sep 08
226,33482,Guitar Hero On Tour: Modern Hits,Misc,DS,E10+,0.37,8.0,7.3,30.0,,7.0,09th Jun 09
227,32173,MotorStorm: Arctic Edge,Racing,PSP,T,1.02,8.0,7.7,58.0,,39.0,29th Sep 09
228,13861,Ninjatown,Strategy,DS,E,0.13,8.0,,40.0,,21.0,28th Oct 08
229,4009,Phoenix Wright: Ace Attorney,Adventure,DS,T,0.92,8.0,8.1,53.0,,203.0,12th Oct 05
230,18651,Puchi Puchi Virus,Puzzle,DS,E,0.08,8.0,7.4,17.0,,5.0,20th May 09
231,16284,Red Steel 2,Shooter,Wii,T,0.62,8.0,7.8,73.0,8.5,178.0,23rd Mar 10
232,33401,Resonance of Fate,Role-Playing,PS3,T,0.73,8.0,7.5,42.0,8.2,136.0,16th Mar 10
233,33400,Resonance of Fate,Role-Playing,X360,T,0.33,8.0,7.4,43.0,,96.0,16th Mar 10
234,4207,Rune Factory: A Fantasy Harvest Moon,Role-Playing,DS,E,0.53,8.0,8.1,26.0,,52.0,14th Aug 07
235,6988,Skate,Sports,PS3,T,0.37,8.0,,31.0,,57.0,24th Sep 07
237,7480,Wii Fit,Sports,Wii,E,22.7,8.0,7.9,63.0,,146.0,21st May 08
238,23193,WWE SmackDown vs. Raw 2009,Fighting,Wii,T,0.83,8.0,8.2,18.0,,18.0,09th Nov 08
239,4008,Apollo Justice: Ace Attorney,Adventure,DS,T,0.99,7.9,8.0,48.0,,84.0,19th Feb 08
240,73076,Dead Rising 3,Action,XOne,M,1.57,7.9,,69.0,,908.0,22nd Nov 13
241,27307,Final Fantasy Crystal Chronicles: Echoes of Time,Role-Playing,DS,E10+,0.47,7.9,7.7,37.0,,21.0,24th Mar 09
242,12743,Fire Pro Wrestling Returns,Fighting,PS2,T,0.09,7.9,,12.0,,17.0,13th Nov 07
243,13394,God of War: Chains of Olympus,Action,PSP,M,3.18,7.9,8.9,79.0,9.5,565.0,04th Mar 08
244,24659,Rayman Raving Rabbids: TV Party,Misc,Wii,E10+,2.03,7.9,7.1,24.0,,29.0,18th Nov 08
245,23447,Star Ocean: The Last Hope,Role-Playing,X360,T,0.79,7.9,7.3,56.0,8.0,150.0,24th Feb 09
246,32127,Tenchu: Shadow Assassins,Action,PSP,M,0.11,7.9,7.5,18.0,,18.0,24th Mar 09
247,25288,Tenchu: Shadow Assassins,Action,Wii,M,0.21,7.9,7.0,35.0,,24.0,05th Feb 09
249,24036,Avalon Code,Role-Playing,DS,E10+,0.24,7.8,7.1,29.0,,13.0,10th Mar 09
250,12323,Brutal Legend,Action,PS3,M,0.94,7.8,7.9,61.0,,162.0,13th Oct 09
251,12324,Brutal Legend,Action,X360,M,0.97,7.8,8.5,88.0,,268.0,13th Oct 09
252,32231,Dawn of Discovery,Simulation,Wii,E10+,0.19,7.8,7.9,24.0,,15.0,23rd Jun 09
253,18841,echochrome,Puzzle,PSP,E,0.09,,7.6,28.0,,13.0,01st May 08
254,868,God Hand,Action,PS2,M,0.07,7.8,7.0,48.0,,165.0,10th Oct 06
255,34039,Guitar Hero: Smash Hits,Misc,PS3,T,0.35,7.8,7.4,34.0,,9.0,16th Jun 09
256,34040,Guitar Hero: Smash Hits,Misc,Wii,T,0.58,7.8,7.5,17.0,,6.0,16th Jun 09
257,34041,Guitar Hero: Smash Hits,Misc,X360,T,0.42,7.8,7.1,56.0,,18.0,16th Jun 09
258,29968,Hammerin' Hero,Action,PSP,E10+,0.07,7.8,7.0,19.0,,8.0,07th Apr 09
