,Genre,Console,Rating,Global_Sales,Critic_Count,User_Count,Release Date,Score
246,Fighting,PS3,T,1070.0,32.0,95.0,7,7.8
247,Role-Playing,Wii,T,130.0,12.0,15.0,8,7.699999999999999
248,Adventure,Wii,E10+,1120.0,50.0,32.0,8,7.900000000000001
249,Misc,PSP,T,480.0,50.0,31.0,8,7.900000000000001
250,Misc,X360,E,520.0,26.0,22.0,10,7.900000000000001
251,Action,Wii,M,290.0,30.0,35.0,8,7.2
252,Role-Playing,X360,M,4050.0,81.0,769.0,9,7.949999999999999
253,Role-Playing,PS3,T,320.0,55.0,145.0,6,7.966666666666666
254,Shooter,X360,M,320.0,70.0,169.0,9,7.7
255,Sports,PS3,T,1980.0,46.0,82.0,9,7.7
256,Sports,X360,T,2630.0,65.0,127.0,9,8.0
257,Shooter,DS,E,60.0,39.0,26.0,8,7.8
258,Action,Wii,T,220.0,45.0,36.0,8,7.1000000000000005
259,Sports,PC,E,1510.0,45.0,172.0,10,8.05
260,Role-Playing,PSP,T,240.0,26.0,47.0,9,7.75
261,Shooter,PC,M,50.0,41.0,261.0,8,7.366666666666667
262,Action,PS3,M,4820.0,40.0,769.0,6,8.066666666666666
263,Action,X360,M,5540.0,77.0,1074.0,6,7.899999999999999
264,Platform,Wii,T,110.0,14.0,14.0,7,7.400000000000001
265,Role-Playing,PS3,T,440.0,34.0,117.0,7,7.900000000000001
266,Shooter,PS3,M,1380.0,49.0,241.0,7,7.95
267,Shooter,X360,M,1590.0,75.0,288.0,7,8.0
268,Adventure,PC,E10+,60.0,15.0,61.0,7,7.45
269,Adventure,PS2,E10+,1270.0,8.0,17.0,7,7.55
270,Adventure,PS3,E10+,1290.0,24.0,33.0,7,7.349999999999999
271,Adventure,Wii,E10+,3060.0,17.0,22.0,7,7.400000000000001
272,Adventure,X360,E10+,3380.0,49.0,75.0,7,7.5
273,Shooter,PS3,T,950.0,56.0,62.0,9,7.05
274,Role-Playing,PS2,T,200.0,12.0,17.0,8,7.849999999999999
275,Role-Playing,Wii,T,100.0,30.0,31.0,9,7.45
276,Role-Playing,DS,M,280.0,26.0,69.0,9,7.75
277,Misc,PS2,T,1100.0,25.0,425.0981912144703,7,7.5
278,Sports,X360,E,180.0,45.0,14.0,11,7.400000000000001
279,Adventure,Wii,E,1030.0,28.0,28.0,8,7.45
280,Action,PSP,M,520.0,40.0,107.0,6,7.599999999999999
281,Adventure,DS,T,160.0,24.0,21.0,7,7.400000000000001
282,Adventure,Wii,T,240.0,29.0,14.0,8,7.400000000000001
283,Action,Wii,E10+,860.0,29.0,28.0,8,7.449999999999999
284,Racing,Wii,E10+,830.0,41.0,38.0,8,7.150000000000001
285,Action,Wii,T,1860.0,18.0,75.0,7,7.166666666666667
286,Shooter,PS3,M,1040.0,57.0,168.0,9,6.650000000000001
287,Shooter,X360,M,1060.0,64.0,247.0,9,6.599999999999999
288,Action,PS3,M,1080.0,69.0,265.0,9,7.6
289,Action,X360,M,920.0,71.0,224.0,9,7.099999999999999
290,Racing,X360,E10+,230.0,53.0,53.0,11,7.2
291,Simulation,X360,E,1620.0,50.0,69.0,9,7.349999999999999
292,Platform,Wii,E10+,160.0,37.0,39.0,8,7.400000000000001
293,Misc,PS3,E10+,420.0,36.0,18.0,8,7.300000000000001
294,Misc,X360,E10+,560.0,50.0,31.0,8,7.25
295,Shooter,X360,M,2610.0,71.0,288.0,9,7.25
296,Racing,PS3,E,220.0,42.0,28.0,9,7.099999999999999
297,Racing,X360,E,170.0,41.0,41.0,9,7.099999999999999
298,Role-Playing,PSP,T,220.0,30.0,47.0,8,7.400000000000001
299,Sports,Wii,E,580.0,37.0,25.0,7,6.900000000000001
300,Role-Playing,Wii,T,520.0,46.0,93.0,7,7.433333333333334
301,Platform,DS,E,850.0,25.0,26.0,8,7.150000000000001
302,Adventure,PSP,E10+,1280.0,5.0,10.0,7,7.5
303,Sports,DS,E,170.0,13.0,12.0,7,7.099999999999999
304,Action,DS,T,160.0,43.0,29.0,10,7.75
305,Fighting,PS3,T,540.0,43.0,19.0,8,7.0
306,Action,3DS,E,270.0,16.0,32.0,13,7.0
307,Sports,X360,E,1320.0,32.0,25.0,9,7.0
308,Puzzle,PSP,E10+,80.0,41.0,21.0,6,7.75
309,Action,PSP,M,190.0,14.0,46.0,9,6.8
310,Action,DS,E10+,70.0,18.0,4.0,5,7.0
311,Fighting,X360,T,390.0,59.0,23.0,8,7.0
312,Action,DS,M,260.0,41.0,36.0,5,6.849999999999999
313,Shooter,Wii,M,1520.0,47.0,122.0,6,7.5
314,Sports,PS3,T,650.0,30.0,26.0,7,6.5
315,Sports,X360,T,810.0,48.0,25.0,7,6.599999999999999
316,Role-Playing,Wii,T,360.0,41.0,63.0,9,6.800000000000001
317,Platform,PC,E10+,20.0,5.0,425.0981912144703,8,6.849999999999999
318,Platform,PS2,E10+,170.0,48.86294416243655,425.0981912144703,8,6.900000000000001
319,Platform,PS3,E10+,190.0,23.0,7.0,8,6.75
320,Platform,Wii,E10+,270.0,12.0,6.0,8,7.050000000000001
321,Platform,X360,E10+,120.0,28.0,6.0,8,6.800000000000001
322,Shooter,Wii,T,4980.0,34.0,47.0,6,6.900000000000001
323,Simulation,Wii,E,4620.0,50.0,119.0,7,7.566666666666666
324,Simulation,PS3,T,190.0,22.0,31.0,7,6.449999999999999
325,Adventure,Wii,T,390.0,53.0,70.0,8,6.75
326,Action-Adventure,X360,E10+,2350.0,33.0,67.0,10,7.650000000000001
327,Misc,Wii,E10+,690.0,15.0,6.0,8,6.8
328,Adventure,DS,T,100.0,14.0,4.0,8,6.150000000000001
329,Racing,PS3,T,480.0,74.0,155.0,10,7.199999999999999
330,Sports,Wii,E,370.0,48.86294416243655,11.0,8,5.949999999999999
331,Simulation,PC,T,120.0,51.0,351.0,14,6.8
332,Action,PS2,T,340.0,8.0,8.0,8,5.800000000000001
333,Strategy,PS3,T,330.0,43.0,51.0,6,7.099999999999999
334,Adventure,DS,T,290.0,51.0,42.0,4,6.599999999999999
335,Shooter,PS3,M,610.0,61.0,55.0,8,6.800000000000001
336,Shooter,X360,M,500.0,79.0,86.0,8,6.800000000000001
337,Role-Playing,X360,T,780.0,80.0,458.0,7,6.55
338,Role-Playing,Wii,E10+,130.0,11.0,17.0,7,6.849999999999999
339,Role-Playing,DS,E10+,360.0,21.0,24.0,8,6.849999999999999
340,Fighting,PS3,T,770.0,26.0,58.0,8,5.599999999999999
341,Fighting,X360,T,510.0,29.0,33.0,8,6.150000000000001
342,Strategy,DS,E,90.0,32.0,27.0,7,6.5
343,Racing,DS,E,30.0,48.86294416243655,425.0981912144703,8,6.5
344,Role-Playing,X360,M,680.0,49.0,122.0,7,7.0
345,Shooter,PS3,M,290.0,56.0,25.0,8,6.349999999999999
346,Shooter,X360,M,370.0,61.0,26.0,8,6.349999999999999
