,Title,Year,Genre,Rating,Director,Votes
139,Psychonauts 2,2021.0,['Adventure'],9.0,Zak McClendon,269
140,Til Mornings Light,2015.0,,9.0,Adam Tierney,5
141,Ryû ga gotoku Zero: Chikai no basho,2015.0,"['Action', 'Adventure', 'Crime']",9.0,Kazuki Hosokawa,1178
142,Batman: Arkham Knight,2015.0,"['Action', 'Adventure', 'Crime']",9.0,Sefton Hill,16406
143,The Last of Us: Left Behind,2014.0,"['Action', 'Adventure', 'Drama']",9.0,Bruce Straley,8734
144,Uncharted 3: Drake's Deception,2011.0,"['Action', 'Adventure', 'Fantasy']",9.0,Amy Hennig,19951
145,Zenobureido,2010.0,"['Action', 'Adventure', 'Fantasy']",9.0,Ko Kojima,573
146,Death Stranding Director's Cut,2021.0,"['Adventure', 'Drama', 'Fantasy']",9.0,Hideo Kojima,33
147,Cruelty Squad,2021.0,"['Action', 'Adventure', 'Crime']",9.0,,11
148,Mystic Messenger,2016.0,,9.0,,8
149,Bioshock: The Collection,2016.0,['Action'],9.0,Ken Levine,194
150,Thirstiest Time of the Year,2018.0,"['Comedy', 'Horror']",9.0,Norboo,7
151,Metal Gear Solid: HD Collection,2011.0,"['Action', 'War']",9.0,Hideo Kojima,51
152,Call of Duty 4: Modern Warfare,2007.0,"['Action', 'Adventure', 'Thriller']",9.0,Jason West,21435
153,Persona 3,2006.0,"['Action', 'Adventure', 'Drama']",9.0,Katsura Hashino,738
154,Mega Man Zero/ZX Legacy Collection,2020.0,"['Action', 'Adventure', 'Sci-Fi']",9.0,Yuto Kazama,12
155,The Godfather: The Don's Edition,2007.0,"['Action', 'Crime', 'Drama']",9.0,Doug Abrahams,292
156,Aztec Challenge,1983.0,,9.0,Paul Norman,8
157,Gothic,2001.0,['Fantasy'],9.0,Don Delciappo,731
158,Super Mario Galaxy,2007.0,"['Animation', 'Action', 'Adventure']",9.0,Yoshiaki Koizumi,4785
159,Mother 3,2006.0,"['Adventure', 'Comedy', 'Drama']",9.0,Nobuyuki Inoue,393
160,Savage Skies,2002.0,"['Action', 'Fantasy']",9.0,Quincy Beard,6
161,Zeruda no densetsu Towairaito purinsesu,2006.0,"['Action', 'Adventure', 'Fantasy']",9.0,Eiji Aonuma,4737
162,Anvil of Dawn,1995.0,['Fantasy'],9.0,David J. Fielding,8
163,Heroes of Might and Magic III: The Restoration of Erathia,1999.0,"['Action', 'Adventure', 'Fantasy']",9.0,David Mullich,1179
164,Metal Gear Solid: The Twin Snakes,2004.0,"['Action', 'Adventure']",9.0,Carey Murray,1577
165,Metal Gear Solid 2: Substance,2002.0,"['Action', 'Adventure', 'Drama']",9.0,Hideo Kojima,2078
166,Zeruda no densetsu: Kaze no takuto,2002.0,"['Action', 'Adventure', 'Fantasy']",9.0,Eiji Aonuma,3115
167,System Shock 2,1999.0,"['Action', 'Horror', 'Sci-Fi']",9.0,Ken Levine,1111
168,StarCraft: Brood War,1998.0,"['Sci-Fi', 'Action', 'Adventure']",9.0,Matthew Samia,2212
169,Diablo II: Lord of Destruction,2001.0,"['Adventure', 'Fantasy', 'Horror']",9.0,Larry B. Scott,2557
170,Diablo II,2000.0,"['Action', 'Horror', 'Fantasy']",9.0,Frank Gorshin,3850
